,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Kaishain,かいしゃいん,会社員,Empleado de una empresa,Company employee,あの方は会社員です  /  Anokata wa kaishain desu,Él/Esa persona es empleado de una empresa.,Él/That person is a company employee.,,,Lección 1
,Shain,しゃいん,社員,Emplado de X empresa(se usa junto al nombre de la empresa),A company's employee,任天堂の社員  /  Nintendo no shain.,Trabajador de Nintendo,Nintendo employee,,,Lección 1
,Ginkouin,ぎんこういん,銀行員,Empleado o funcionario de un banco,Banker,あの方は銀行員です  /  Anokata wa ginkōin desu.,Él/Esa persona es un banquero.,Él/That person is a banker.,,,Lección 1
,Isha,いしゃ,医者,Médico(profesión),Doctor (profession),レコヴェリガールは医者です  /  Recovery Girl wa isha desu.,Recovery Girl es una doctora.,Recovery Girl is a doctor.,,,Lección 1
,Kenkyuusha,けんきゅうしゃ,研究者,Investigador,Researcher,シャーロック・ホームズは研究者です  /  Sherlock Holmes wa kenkyūsha desu,Sherlock Holmes es un investigador.,Sherlock Holmes is a researcher.,,,Lección 1
,Enginia,エンジニア,,Ingeniero,Engineer,ダニエルーさんはエンジニアです/Daniel-san wa enginia desu.,Daniel es un ingeniero.,Daniel is an engineer.,,,Lección 1
,Daigaku,だいがく,大学,Universidad,University,UBA 大学/UBA daigaku,Universidad UBA.,UBA University.,,,Lección 1
,Byouin,びょういん,病院,Hospital,Hospital,ノメルシ病院/No mercy byōin,"El hospital ""No Mercy""","""No Mercy"" Hospital",,,Lección 1
,Denki,でんき,電気,"Electricidad, luz(electrica)","Electricity, Light",あの人は電気雷/Anohito wa Denki Kaminari,Esa persona es Denki Kaminari,That person is Denki Kaminari,,,Lección 1
,Dare,だれ,,¿Quien?,Who,あなたはだれですか/Anata wa dare desu ka.,¿Quién es esa persona?,Who's that person?,,,Lección 1
,Donata,どなた,,¿Quien?(forma formal de dare),Who (formal form of dare),あの方はどなたですか/Anokata wa donata desu ka,¿Quién es esa persona?,Who's that person?,,,Lección 1
,〜Sai,〜さい,~ 歳 ・~ 才,Sufijo para indicar años de edad,Suffix used to talk about your age. (___ years old),ティミーくんは十二ー歳です/Timmy-kun wa jū ni-sai desu.,El pequeño Timmy tiene doce años.,Little Timmy is twelve years old.,"Cuando se habla de edades, ~歳 es el kanji original y correcto a utilizar. Pero, como ~才 tiene la misma lectura y es más facil de escribir, se convirtió más común. ~才 se puede encontrar en escritos hoy en día, especialmente en escuelas primarias. En escritos formales, es necesario utilizar ~歳.","When discussing age, 〜歳 is the original and correct kanji to use. But, since〜才 is easier to write and has the same reading, it became more common. ~才 can be found in writing today, especially in elementary schools. In formal writing though, it's necessary to use 〜歳.",Lección 1
,Nansai,なんさい,何歳,Cuantos años,How old...,あなたは何歳ですか/Anata wa nansai desu ka.,¿Qué edad tienes?,How old are you?,,,Lección 1
,Oikutsu,おいくつ,お幾つ,Cuantos años(Forma formal de nansai),How old... (Formal form of nansai),あなたはお幾つですか/Anata wa oikutsu desu ka.,¿Qué edad tienes?,How old are you?,,,Lección 1
,Hai,はい,,Si,Yes,"はい、私は学生です/Hai, watashi wa gakusei desu.","Sí, yo soy estudiante.","Yes, I'm a student.",,,Lección 1
,Iie,いいえ,,No,No,"いいえ、私は学生じゃありません/Iie, watashi wa gakusei ja arimasen.","No, no soy estudiante.","No, I'm not a student.",,,Lección 1
,Shitsureidesuga,しつれいですか,失礼ですが,"Disculpe, pero(se usa al hacer preguntas personales)","Excuse me, but ... (question)","失礼ですが、お名前は/Shitsureidesuga, onamae wa.","Disculpe, ¿Cuál es su nombre?","Excuse me, what's your name?",,,Lección 1
,Onamae wa,おなまえは？,お名前は?,¿Cual es su nombre?,... your name?,"失礼ですが、お名前は/Shitsureidesuga, onamae wa.","Disculpe, ¿Cuál es su nombre?","Excuse me, what's your name?",,,Lección 1
,Hajimemashite,はじめまして,始めまして,"Mucho gusto/cuida de mi (suelen usarse juntos para presentase, el hablante se pone al ""cuidado"" del receptor). ",Nice to meet you / Take care of me. (These expressions usually work together. The speaker puts themselves into the care of the receiver),"始めまして、ニコーさんです。どうぞよろしくお願いします/Hajimemashite, Nico-san desu. Dōzo yoroshiku onegai shimasu.","Un gusto conocerle, soy Nico.","Nice to meet you, I am Nico. ",Hajimemashite y Dōzo yoroshiku onegai shimasu usualmente trabajan juntos. El hablante se pone al servicio del receptor.,Hajimemashite and Dōzo yoroshiku onegai shimasu usually work together. The speaker puts themselves into the care of the receiver,Lección 1
,Douzoyoroshiku onegaishimasu,どうぞよろしくおねがいします,どうぞよろしくお願いします,,,,,,,,Lección 1
,Kochira wa ...〜san desu,こちらは〜さんです,,Te presento a ...,Please meet ... /I present to you,こちらはニコーさんです/Kochira wa Nico-san desu. ,Te presento al Sr. Nico. / Te presento a Nico.,Please meet Mr. Nico / Please meet Nico.,,,Lección 1
,〜Kara kimashita,〜からきました,〜から来ました,Vengo de ...,I come from,エクアドルから来ました/Ekuadoru kara kimashita.,Soy de Ecuador.,I'm from Ecuador.,,,Lección 1
,Amerika,アメリカ,,Estados Unidos,United States,アメリカから来ました/Amerika kara kimashita.,Soy de Estados Unidos.,I'm from the United States.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Igirisu,イギリス,,Inglaterra,England,"ジェームズさんはイギリス人です/Jēmuzu-san wa igirisujin desu
",Jeremy es Inglés.,Jeremy is an Englishman.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,India,インド,,India,India,インドから来ました / Indo kara kimashita.,Vengo de India.,I'm from India.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Indoneshia,インドネシア,,Indonesia,Indonesia,これはインドネシアのコンピューターです。/ Kore wa Indoneshia no konpyūtā desu.,Esta es una computadora de Indonesia.,This is a computer from Indonesia.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Kankoku,かんこく,韓国,Corea del sur,South Korea,ここは韓国です。/ Koko wa kankoku desu.,Este lugar es Corea del Sur.,This place is South Korea.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Tai,タイ,,Tailandia,Thailand,タイからきました。/ Tai karakimashita.,Vengo de Tailandia.,I'm from Thailand.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Chūgoku,ちゅうごく,中国,China,China,そのくるまはちゅごくのです。/ Sono kuruma wa Chūgoku no desu.,Ese auto es de china.,That car is from China.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Doitsu,ドイツ,,Alemania,Germany,エレンイェーガーはドイツじんです。/ Eren Yēgā wa doitsujin desu.,Eren Jaeger es alemán.,Eren Jaeger is German.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Nihon,にほん,日本,Japón,Japan,はたしわ日本人です。/ Watashi wa Nihonjin desu.,Yo soy japonés.,I'm Japanese.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Furansu,フランス,,Francia,France,マリネッテちゃんのお国はどちらですか。フランスです。/ Marinette-chan no o-kuni wa dochira desu ka. Furansu desu.,¿Por dónde está el país de Levi Ackerman? En Francia. ,Where is the country of Levi Ackerman? In France ,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Burajiru,ブラジル,,Brasil,Brazil,それはブラジルの会社です。/ Sore wa burajiru no kaisha desu.,Ese lugar es una empresa de Brasil.,That place is a company from Brazil.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Ejiputo,エジプト,,Egipto,Egypt,これはエジプトです。/ Kore wa Ejiputo desu.,Esto es Egipto.,This is Egypt.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Itaria,イタリア,,Italia,Italy,ピザはイタリアのです。/ Piza wa Itaria no desu.,La pizza es de Italia.,Pizza is from Italy.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Suisu,スイス,,Suiza,Switzerland,スイスはどこですか。/ Suisu wa doko desu ka.,¿Dónde está Suiza?,Where is Switzerland?,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,O-sutoraria,オーストラリア,,Australia,Australia,デンジはオーストラリア人です。/ Denjin wa O-sutorariajin desu.,Denjin es Australiano.,Denjin is Australian.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Kanada,カナダ,,Canadá,Canada,カナダの首相はハンサムです。/ Kanada no shushō wa hansamu desu.,El primer ministro de Canadá es guapo.,The prime minister of Canada is handsome.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Saujiarabia,サウジアラビア,,Arabia Saudita,Saudi Arabia,サウジアラビアからきました。/ Saujiarabia karakimashita.,Vengo de Arabia Saudita.,I came from Saudi Arabia.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Shingapo-ru,シンガポール,,Singapur,Singapour,これはシンガポールです。/ Kore wa Shingapo-ru desu.,Esto es Singapur.,This is Singapour.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Supein,スペイン,,España,Spain,そのくワインスパインのです。/ Sono wain wa Supain no desu.,Ese vino es de España.,That wine is from Spain.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Betonamu,ベトナム,,Vietnam,Vietnam,ベトナムはどこですか。/ Betonamu wa doko desu ka.,¿Dónde está Vietnam?,Where is Vietnam?,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Mare-shia,マレーシア,,Malasia,Malaysia,ここはマレーシアです。/ Koko wa Mare-shia desu.,Este lugar es Malasia.,This place is Malasya.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Mekishiko,メキシコ,,México,Mexico,ダンナパオラはメキシコ人です/Danna Paola wa Mekishikojin desu.,Danna Paola es Mexicana,Danna Paola is Mexican,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Roshia,ロシア,,Rusia,Russia,プーチンはロシアの大統領です。/ Pūchin wa Roshia no daitōryō desu.,Putin es el presidente de Rusia.,Putin is the president of Russia.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Aruzenchin,アルゼンチン,,Argentina,Argentina,ニコせんせいはアルゼンチン人です。/ Nico sensei wa Aruzenchinjin desu.,Nico Sensei es Argentino.,Nico Sensei is Argentinian.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Chiri,チリ,,Chile,Chile,レイエン先生のお国はどちらですか。チリです。/ Rayen-sensei no o-kuni wa dochira desu ka. Chiri desu.,¿De qué país es la maestra Rayen? De Chile. ,What contry is teacher Rayen from? Chile.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Koronbia,コロンビア,,Colombia,Colombia,エパブロスコバルはコロンビア出身です。/ Paburo Esukobaru wa Koronbia shusshin desu.,Pablo Escobar es de Colombia.,Pablo Escobar is from Colombia.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Benezuera,ベネズエラ,,Venezuela,Venezuela,ベネズエラからきました。/ Benezuera karakimashita.,Vengo de Venezuela.,I came from Venezuela.,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Boribia,ボリビア,,Bolivia,Bolivia,ボリビアはどちらですか。/ Boribia wa dochira desu ka.,¿Por dónde está Bolivia?,Where is Bolivia?,"~ 語 [go] = Idioma
~ 人 [jin] = Gentilicio","~ 語 [go] = Language
~ 人 [jin] = Demonym",Lección 1
,Kore,これ ,,Esto,This,これは林檎です/Kore wa ringo desu,Esto es una manzana.,This is an apple.,,,Leccion 2
,Sore,それ ,,Eso,That (considerable distance),それはニコーさんのりんごです/Sore wa Nico-san no hon desu,Ese es el libro del señor Nico.,That is Mr. Nico's book.,Se ocupa sore para hablar de objetos que se encuentran a una distancia razonable.,Sore is used to talk about objects that are within a considerable distance.,Leccion 2
,Are,あれ ,,Aquél,That (far away),あれは富士山です/Are wa fuji-san desu,Aquel es el monte Fuji.,That is Mt. Fuji.,Se ocupa are para hablar de objetos que se encuentran lejos del locutor.,Are is used to talk about objects that are far from the announcer.,Leccion 2
,Kono,この〜 ,,Este(se especifica el sujeto),This ...,この肉は美味しいです  /   Kono niku wa oishī desu,Esta carne es deliciosa.,This meat is delicious.,Kono + object + wa. Después del kono se tiene que poner el objeto. Kono wa es incorrecto,Kono + object + wa. After kono you need to immediately put the object. Kono wa is incorrect.,Leccion 2
,Sono,その〜 ,,Ese(se especifica el sujeto),That ... (considerable distance),その人は医者ですか/Sono hito wa isha desu ka,¿Esa persona es un doctor?,Is that person a doctor?,Sono + object + wa. Después del sono se tiene que poner el objeto. Sono wa es incorrecto,Sono + object + wa. After sono you need to immediately put the object. Sono wa is incorrect.,Leccion 2
,Ano,あの〜 ,,Aquél(se especifica el sujeto),That ... (far away),あの犬はあなたのですか  /  Ano inu wa anata nodesu ka,¿Ese es tu perro?,Is that your dog?,Ano + object + wa. Después del ano se tiene que poner el objeto. Ano wa es incorrecto,Ano + object + wa. After ano you need to immediately put the object. Ano wa is incorrect.,Leccion 2
,Hon,ほん,本,Libro,Book,私の本です/Watashi no hon desu.,Es mi libro.,It's my book / That's my book.,,,Leccion 2
,Jisho,じしょ,辞書,Diccionario,Dictionary,RAEの辞書/RAE no jisho,Diccionario de la RAE.,RAE Dictionary.,,,Leccion 2
,Zasshi,ざっし,雑誌,Revista,Magazine,それ は AVON の 雑誌/Sore wa AVON no zasshi,Esa es la revista AVON.,That's AVON magazine.,,,Leccion 2
,Shinbun,しんぶん,新聞,Periódico,Newspaper,ニューヨークタイムズ新聞は面白いです/Nyu-yo-ku taimusu shinbun wa omoshiroi desu,El periódico New York Times es muy interesante.,New York Times newspaper is very interesting.,,,Leccion 2
,No-to,ノート,,Cuaderno,Notebook,日本語のノート/Nihongo no noto,Cuaderno de japonés.,Japanese notebook.,,,Leccion 2
,Techou,てちょう,手帳,Agenda,Agenda,それは私の手帳です/Sore wa watashi no techou desu,Esa es mi agenda.,That's my agenda.,,,Leccion 2
,Meishi,めいし,名刺,Tarjeta personal/negocios,Business card,"どうぞ、わたしの名刺です/Dōzo, watashi no meishi desu","Un gusto, esta es mi tarjeta.",Nice to meet you. this is my business card.,,,Leccion 2
,Kaddo,カード,,Tarjeta,Card,それは私のビザカードです/Sore wa watashi no bizakādo desu,,,,,Leccion 2
,Terehonkado,テレホンカード,,Tarjeta de telefono,Phone Card,,,,,,Leccion 2
,Enpitsu,えんぴつ,鉛筆,Lapiz,Pencil,私が鉛筆のBARBIEほんと好き/Watashi ga enpitsu no BARBIE honto suki,,,,,Leccion 2
,Borupen,ボルペン,時計,Boligrafo,Ballpoint pen,,,,,,Leccion 2
,Sha-pupen,シャープペンシル,,Portaminas,Mechanical pencil,,,,,,Leccion 2
,Kagi,かぎ,鍵,Llaves,Keys,,,,,,Leccion 2
,Tokei,とけい,時計,Reloj,Clock,,,,,,Leccion 2
,Kasa,かさ,傘,Paraguas,Umbrella,,,,,,Leccion 2
,Kaban,かばん,,Valija,Bag,,,,,,Leccion 2
,(Kasetto)Te-pu,[カセット] テープ,,(Cassete) Cinta,Tape,,,,,,Leccion 2
,Tēpurekōdā,テープレコーダー,,Grabadora,Tape recorder,,,,,,Leccion 2
,Terebi,テレビ,,Televisión,Television,,,,,,Leccion 2
,Rajio,ラジオ,,Radio,Radio,,,,,,Leccion 2
,Kamera,カメラ,,Camara,Camera,,,,,,Leccion 2
,Konpyo-ta-,コンピューター,,Computadora,Computer,,,,,,Leccion 2
,Jidousha,じどうしゃ,自動車,Automovil,Automobile / Car,,,,,,Leccion 2
,Tsukue,つくえ,机,Escritorio,Desk,,,,,,Leccion 2
,Isu,いす,椅子,Silla,Chair,,,,,,Leccion 2
,Chyokore-to,チョコレート,,Chocolate,Chocolate,,,,,,Leccion 2
,Ko-hi-,コーヒー,,Café,Coffee,,,,,,Leccion 2
,Eigo,えいご,英語,Inglés,English (language),,,,,,Leccion 2
,Nihongo,にほんご,日本語,Japonés,Japanese (language),,,,,,Leccion 2
,〜Go,〜ご,語,Idioma __,Language ___ ,,,,,This suffix is added at the end to refer to languages.,Leccion 2
,Nan,なん・なに,何,Qué,What,,,,,,Leccion 2
,Chigaimasu,ちがいます,違います,"No, no es así/ Estas equivocado",That's wrong/ You're wrong,,,,,,Leccion 2
,Soudesuka,そうですか,,Es realmente asi? ,Is it? / Is that right?,,,,,,Leccion 2
,Anou,あのう,,Esto...(Falta de seguridad o firmeza al hablar),"Ahmm (Expression added at the beginning of a sentence, usually when you're not sure of something)",,,,,,Leccion 2
,Hon no kimochi desu,ほんのきもちです,ほんの気持ちです,No es nada/No es la gran cosa(Se usa al dar un regalo con la intencion de transmitir con humildad lo que se siente por la otra persona).,It's nothing.,,,,,,Leccion 2
,Douzo,どうぞ,,Aqui tiene(se usa al entregar o mostrar algo a alguien),Here it is (It is used when you give or show something to someone),,,,,,Leccion 2
,Doumo,どうも,,Gracias,Thank you!,,,,,,Leccion 2
,Arigatou,ありがとう,,Gracias,Thank you!,,,,,,Leccion 2
,Doumo arigatou gozaimasu,どうもありがとうございます,,Muchas gracias,Thank you very much!,,,,,,Leccion 2
,Korekara osewa ni narimasu,これからおせわになります,これからお世話になります,Le agradezco de antemano su cuidado/Sera bienvenido de ahora en adelante (Se usa al saludar por primera vez a una persona con la que tendra contacto de ahora en adelante),Thanks beforehand for your care / You're welcome from now on,,,,(Se usa al saludar por primera vez a una persona con la que tendra contacto de ahora en adelante),It is used when you meet someone you're going to keep in touch with from that point on ,Leccion 2
,Kochira koso yoroshiku,こちらこそよろしく,,Estoy igualmente encantado de conocerle(Se usa en respuesta a どうぞよろしく),I'm pleased to meet you too. (It is a response of どうぞよろしく),,,,,,Leccion 2
,Koko,ここ,,Aquí/Aca,Here,,,,,,Lección 3
,Soko,そこ,,Ahí,There (considerable distance),,,,,,Lección 3
,Asoko,あそこ,,Allí,There (far away),,,,,,Lección 3
,Doko,どこ,,¿Donde?,Where,,,,,,Lección 3
,Kochira,こちら,,Por acá,Over here,,,,,,Lección 3
,Sochira,そちら,,Por ahí,Over there (considerable distance),,,,,,Lección 3
,Achira,あちら,,Por allí,Over there (far away),,,,,,Lección 3
,Dochira,どちら,,¿Por donde?,Whereby,,,,,,Lección 3
,Kyoshitsu,きょしつ,教室,Aula,Classroom,,,,,,Lección 3
,Shokudō,しょくどう,食堂　,Comedor,Dining room,,,,,,Lección 3
,Jimusho,しむしょう,事務所　,Oficina,Office,,,,,,Lección 3
,Kaigishitsu,かいぎしつ,会議室,Sala de reuniones,Meeting room,,,,,,Lección 3
,Uketsuke,うけつけ,受付　,Recepcion,Reception,,,,,,Lección 3
,Robi-,ロビー,,Lobby/Vestibulo,Lobby,,,,,,Lección 3
,Heya,へや,部屋,Habitación/Cuarto,Bedroom,,,,,,Lección 3
,Toire/Otearai,トイレ/おてあらい,お手洗い,Baño,Bathroom,,,,,,Lección 3
,Kaidan,かいだん,階段,Escalera,Stair,,,,,,Lección 3
,Erebe-ta-,エレベーター,,Ascensor,Elevator,,,,,,Lección 3
,Esukare-ta-,エスカレーター,,Escalera mecanica,Escalator,,,,,,Lección 3
,Okuni,おくに,お国,País/Patria,Country,,,,,,Lección 3
,Kaisha,かいしゃ,会社,Empresa,Company,,,,,,Lección 3
,Uchi,うち,家,Casa,House,,,,,,Lección 3
,Denwa,でんわ,電話　,Telefono/Llamada telefonica,Telephone / Phone call,,,,,,Lección 3
,Kutsu,くつ,靴,Zapatos,Shoes,,,,,,Lección 3
,Nekutai,ネクタイ,,Corbata,Tie,,,,,,Lección 3
,Wain,ワイン,,Vino,Wine,,,,,,Lección 3
,Tabako,たばこ,,Tabaco,Tabacco,,,,,,Lección 3
,Uriba,うりば,売り場,Sección(en supermercado),Section,,,,,,Lección 3
,Chika,ちか,地下,Subsuelo,Underground/Basement,,,,,,Lección 3
,-Kai(-Gai),〜かい(〜がい),階,Numero de piso/planta,___ floor,,,,,,Lección 3
,Nangai,なんがい,何階,¿Qué piso?,Which floor,,,,,,Lección 3
,-En,-えん,円,Yen,Yen,,,,,,Lección 3
,Ikura,いくら,,¿Cuanto sale/cuesta?(se usa para preguntar el precio de algo),How much... ?,,,,,,Lección 3
,Hyaku,ひゃく,百,Unidad de 100,Unit of 100,,,,,,Lección 3
,Sen,せん,千,Unidad de 1000,Unit of 1000,,,,,,Lección 3
,Man,まん,万,Unidad de 10.000,Unit of 10000,,,,,,Lección 3
,Sumimasen,すみません,,Disculpe(Para llamar la atención de alguien),Excuse me ... (Used to catch someone's attention),,,,,,Lección 3
,〜De gozaimasu,でございます,,Forma formal de です,Formal form of です,,,,,,Lección 3
,(〜Wo) Misete kudasai,(〜を)　みせでください,(〜を) 見せでください,Por favor enséñeme/muéstreme(antes del wo va el objeto),Please show me ... (before the wo we need to mention the object),,,,,,Lección 3
,Ja,じゃ,,"Bueno, entonces...(se usa para ""pausar"" la charla para pensar acerca de si hacer o no algo)","Alright, So (It is used to ""pause"" a conversation to have time to think)",,,,,,Lección 3
,(〜Wo) Kudasai,(〜を) ください,,Deme ___ por favor(antes del wo va el objeto),"Please, give me _____ (Before the wo we need to mention the object)",,,,,,Lección 3
,Shinoosaka,しんおおさか,新大阪,Estacion de tren de Osaka,,,,,,,Lección 3
,Okimasu,おきます,起きます,Levantarse,Wake up,,,,,,Lección 4
,Nemasu,ねます,寝ます,Acostarse,Go to bed,,,,,,Lección 4
,Benkyōshimasu,べんきょうします,勉強します,Estudiar,Study,,,,,,Lección 4
,Hatarakimasu,はたらきます,働きます,Trabajar,Work,,,,,,Lección 4
,Yasumimasu,やすみます,休みます,Descansar,To take a rest,,,,,,Lección 4
,Owarimasu,おわります,終わります,Terminar,Finish,,,,,,Lección 4
,Depa-to,デパート,,Tienda departamental,Department store,,,,,,Lección 4
,Ginkou,ぎんこう,銀行,Banco,Bank,,,,,,Lección 4
,Yuubinkyoku,ゆうびんきょく,郵便局,Oficina de correos,Post office,,,,,,Lección 4
,Toshyokan,としょかん,図書館,Biblioteca,Library,,,,,,Lección 4
,Bijutsukan,びじゅつかん,美術館,Museo de arte,Art museum,,,,,,Lección 4
,Ima,いま,今,Ahora,Now,,,,,,Lección 4
,Ji,じ,時,__ Hora,__ Hour,,,,,,Lección 4
,Fun・Pun,ふん・ぷん,分,__ Minutos,__ Minute,,,,,,Lección 4
,Han,はん,半,__ y media,__ and a half,,,,,,Lección 4
,Naniji,なにじ,何時,¿Que hora?,What hour?,,,,,,Lección 4
,Nanpun,なんぷん,何分,¿Que minuto?,What minute?,,,,,,Lección 4
,Gosen,ごせん,午前,AM,AM,,,,,,Lección 4
,Gogo,ごご,午後,PM,PM,,,,,,Lección 4
,Asa,あさ,朝,Mañana,Morning,,,,,,Lección 4
,Hiru,ひる,昼,Mediodia・Tarde,Noon・Midday,,,,,,Lección 4
,Ban・Oru,ばん〜おる,晚 / 夜,Noche,Night,,,,,,Lección 4
,Ototoi,おととい,一昨日,Anteayer,Day before esterday,,,,,,Lección 4
